eval_condition,test_env,policy_family,train_seed,policy_label,checkpoint,agent_cfg_path,eval_seed,num_envs,episode_index,source_env_index,has_obstacles,n_obstacles,episode_length,episode_return,grasp_success,task_completion_time,collision_frequency,near_obstacle_rate,mean_clearance,min_clearance,max_object_z,reward_term_reaching_object,reward_term_lifting_object,reward_term_object_goal_tracking,reward_term_object_goal_tracking_fine_grained,reward_term_action_rate,reward_term_joint_vel,reward_term_obstacle_1_penalty,reward_term_obstacle_2_penalty,reward_term_obstacle_contact_penalty,reward_term_obstacle_3_penalty,reward_term_obstacle_4_penalty
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,10,10,False,0,250.0,145.62384033203125,1.0,77.0,0.0,0.0,nan,nan,0.4772123694419861,3.690955877304077,75.0,60.30788040161133,6.631299018859863,-0.0003408506163395941,-0.005945395678281784,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,11,11,False,0,250.0,151.924560546875,1.0,76.0,0.0,0.0,nan,nan,0.3245844841003418,3.643054485321045,75.0,64.77613830566406,8.515897750854492,-0.0004787111538462341,-0.01006980799138546,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,12,12,False,0,250.0,146.41748046875,1.0,76.0,0.0,0.0,nan,nan,0.336295485496521,4.042347431182861,75.0,60.9169921875,6.467154026031494,-0.0006358160171657801,-0.008360540494322777,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,13,13,False,0,250.0,160.8609161376953,1.0,76.0,0.0,0.0,nan,nan,0.27479806542396545,3.981325387954712,75.0,68.42587280273438,13.461996078491211,-0.00045261357445269823,-0.007775784004479647,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,14,14,False,0,250.0,155.58505249023438,1.0,76.0,0.0,0.0,nan,nan,0.3817618191242218,3.920340061187744,75.0,65.60307312011719,11.071276664733887,-0.00039048431790433824,-0.00917939655482769,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,15,15,False,0,250.0,147.1568603515625,1.0,75.0,0.0,0.0,nan,nan,0.46911507844924927,4.042309761047363,75.0,61.082305908203125,7.038094520568848,-0.000308206828776747,-0.0055236415937542915,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,16,0,False,0,250.0,154.4996337890625,1.0,76.0,0.0,0.0,nan,nan,0.26570621132850647,3.8419806957244873,75.0,65.94062042236328,9.726920127868652,-0.0005094002117402852,-0.009333671070635319,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,17,1,False,0,250.0,150.36334228515625,1.0,76.0,0.0,0.0,nan,nan,0.310524582862854,3.9809730052948,75.0,63.45310592651367,7.939813613891602,-0.0006076855934225023,-0.00998381245881319,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,18,2,False,0,250.0,139.8071746826172,1.0,76.0,0.0,0.0,nan,nan,0.27544549107551575,4.2155256271362305,75.0,57.217864990234375,3.3846397399902344,-0.001162180327810347,-0.009679167531430721,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,19,3,False,0,250.0,161.47373962402344,1.0,76.0,0.0,0.0,nan,nan,0.35178154706954956,4.058513164520264,75.0,67.73953247070312,14.685186386108398,-0.0006261192611418664,-0.00887276977300644,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,20,4,False,0,250.0,158.31517028808594,1.0,76.0,0.0,0.0,nan,nan,0.47939664125442505,4.095352649688721,75.0,65.80729675292969,13.421324729919434,-0.0006602834328077734,-0.008114350028336048,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,21,5,False,0,250.0,151.62930297851562,1.0,76.0,0.0,0.0,nan,nan,0.26542845368385315,3.950295925140381,75.0,64.75707244873047,7.930129051208496,-0.0003438066050875932,-0.007824619300663471,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,22,6,False,0,250.0,150.99557495117188,1.0,76.0,0.0,0.0,nan,nan,0.34115535020828247,3.999812126159668,75.0,63.86091995239258,8.14343547821045,-0.0004763490869663656,-0.00807103794068098,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,23,7,False,0,250.0,144.10565185546875,1.0,77.0,0.0,0.0,nan,nan,0.4760640561580658,3.695063829421997,75.0,59.49466323852539,5.921924114227295,-0.00031020957976579666,-0.005670851096510887,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,24,8,False,0,250.0,151.23252868652344,1.0,76.0,0.0,0.0,nan,nan,0.3460966646671295,3.7605416774749756,75.0,63.42258834838867,9.060579299926758,-0.001078857691027224,-0.010087843053042889,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,25,9,False,0,250.0,150.73004150390625,1.0,76.0,0.0,0.0,nan,nan,0.27960580587387085,4.126413822174072,75.0,63.994476318359375,7.617587566375732,-0.0007258678670041263,-0.007686331402510405,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,26,10,False,0,250.0,152.2271728515625,1.0,76.0,0.0,0.0,nan,nan,0.3057296872138977,3.9625790119171143,75.0,64.4388656616211,8.835375785827637,-0.000337808218318969,-0.009274329990148544,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,27,11,False,0,250.0,146.33016967773438,1.0,75.0,0.0,0.0,nan,nan,0.421330064535141,3.9898362159729004,75.0,60.82168197631836,6.5277018547058105,-0.0003676758205983788,-0.008684597909450531,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,28,12,False,0,250.0,139.08465576171875,1.0,76.0,0.0,0.0,nan,nan,0.4910670518875122,3.7254724502563477,75.0,56.243560791015625,4.124283790588379,-0.00032899322104640305,-0.00831085629761219,0.0,0.0,0.0,,
BL,Isaac-Franka-Grasping-Baseline-v0,Baseline,42,BL_s42,C:\Users\Rei\Documents\Thesis-Final\logs\rl_games\baseline\baseline42\nn\last_franka_lift_ep_1500_rew__112.23001_.pth,c:\users\rei\documents\thesis-final\source\isaaclab_tasks\isaaclab_tasks\manager_based\manipulation\lift\config\franka\agents\rl_games_ppo_cfg.yaml,42,16,29,13,False,0,250.0,154.3409881591797,1.0,76.0,0.0,0.0,nan,nan,0.282663494348526,3.820134162902832,75.0,65.65400695800781,9.87704086303711,-0.0005563716986216605,-0.009661606512963772,0.0,0.0,0.0,,
